time_imu_sec,ax_mpsps,ay_mpsps,az_mpsps,gx_radps,gy_radps,gz_radps
1.4,-0.0550344,-0.0646056,9.8080872,0.0163624617374468,0.0130899693899575,0.0141808001724539
1.41,-0.023928,-0.0311064,9.8511576,0.0152716309549504,0.0207257848674327,0.0163624617374468
1.42,-0.107676,0.0669984,9.9014064,0.0098174770424681,0.0196349540849362,0.0163624617374468
1.43,0.0143568,-0.0023928,9.7243392,0.0130899693899575,0.0152716309549504,0.0141808001724539
1.44,0.0502488,0.0143568,9.8846568,0.0109083078249646,0.0109083078249646,0.0130899693899575
1.45,-0.0143568,-0.047856,9.8296224,0.0174532925199433,0.0163624617374468,0.0174532925199433
1.46,-0.0143568,0.047856,9.7889448,0.0174532925199433,0.0141808001724539,0.00654498469497874
1.47,-0.0095712,0.0095712,9.8080872,0.0141808001724539,0.0196349540849362,0.011999138607461
1.48,-0.0574272,0.0550344,9.738696,0.0218166156499291,0.0152716309549504,0.0141808001724539
1.49,0.0023928,0.0047856,9.834408,0.0163624617374468,0.0109083078249646,0.0163624617374468
1.5,-0.0311064,0.0430704,9.858336,0.0207257848674327,0.0174532925199433,0.0152716309549504
1.51,-0.0071784,-0.0669984,9.786552,0.0174532925199433,0.011999138607461,0.0152716309549504
1.52,-0.0167496,0.0263208,9.774588,0.0152716309549504,0.0130899693899575,0.0152716309549504
1.53,0.0669984,-0,9.8056944,0.00872664625997165,0.0185441233024398,0.00436332312998582
1.54,-0.0334992,0.0095712,9.8487648,0.0218166156499291,0.0141808001724539,0.011999138607461
1.55,-0.0023928,0.0287136,9.846372,0.0174532925199433,0.0185441233024398,0.0185441233024398
1.56,-0.0382848,0.0215352,9.8248368,0.00872664625997165,0.0185441233024398,0.0141808001724539
1.57,0.0454632,-0.047856,9.7961232,0.0141808001724539,0.0174532925199433,0.0141808001724539
1.58,-0.0095712,0.0023928,9.8320152,0.0098174770424681,0.0207257848674327,0.0152716309549504
1.59,-0.0167496,-0.0382848,9.846372,0.0163624617374468,0.011999138607461,0.0141808001724539
1.6,0.0071784,-0.0167496,9.786552,0.0130899693899575,0.0130899693899575,0.0109083078249646
1.61,-0.0646056,0.0167496,9.8152656,0.0098174770424681,0.0141808001724539,0.0174532925199433
1.62,-0.0334992,-0.095712,9.8152656,0.0141808001724539,0.0174532925199433,0.00654498469497874
